Series,Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
17,9,1.33%,-5.01%,4.25%,-8.04%,-0.97%,2.52%,-2.17%,2.67%,2.91%,,8.06%,,1.5,,,
17,10,37.20%,32.27%,5.49%,23.48%,21.29%,1.79%,0.98%,2.54%,2.30%,,11.55%,,42.54,,,
18,1,5.81%,-14.03%,5.78%,-4.96%,2.81%,7.85%,24.53%,4.43%,3.71%,,24.93%,,10.5,,,
18,2,16.54%,17.37%,6.67%,8.22%,14.38%,7.22%,-15.26%,4.42%,3.68%,,28.59%,,13.54,,,
18,3,31.48%,6.95%,8.11%,17.69%,15.95%,4.39%,-2.84%,4.65%,3.32%,,10.80%,,26.17,,,
18,4,-3.06%,-27.92%,7.50%,6.24%,6.28%,-0.69%,-3.11%,6.11%,3.74%,,-23.20%,,-10.41,,,
18,5,30.23%,46.27%,5.38%,15.00%,18.93%,-0.17%,-8.56%,3.06%,3.11%,,12.50%,,64.99,,,
18,6,7.49%,25.51%,3.43%,9.36%,11.31%,0.82%,-5.73%,2.90%,2.90%,,-11.85%,,8.86,,,
18,7,9.97%,25.73%,3.00%,14.21%,15.47%,2.16%,17.68%,2.75%,2.72%,,32.94%,,10.58,,,
18,8,1.33%,-5.01%,4.25%,-8.04%,-0.97%,2.52%,-2.17%,2.67%,2.91%,,8.06%,,1.5,,,
18,9,37.20%,32.27%,5.49%,23.48%,21.29%,1.79%,0.98%,2.54%,2.30%,,11.55%,,42.54,,,
18,10,22.68%,14.63%,5.01%,1.43%,3.42%,2.43%,-4.59%,3.32%,2.01%,,6.36%,,42.54,,,
19,1,16.54%,17.37%,6.67%,8.22%,14.38%,7.22%,-15.26%,4.42%,3.68%,,28.59%,40.43%,13.54,,,
19,2,31.48%,6.95%,8.11%,17.69%,15.95%,4.39%,-2.84%,4.65%,3.32%,,10.80%,64.96%,26.17,,,
19,3,-3.06%,-27.92%,7.50%,6.24%,6.28%,-0.69%,-3.11%,6.11%,3.74%,,-23.20%,-10.55%,-10.41,,,
19,4,30.23%,46.27%,5.38%,15.00%,18.93%,-0.17%,-8.56%,3.06%,3.11%,,12.50%,59.91%,64.99,,,
19,5,7.49%,25.51%,3.43%,9.36%,11.31%,0.82%,-5.73%,2.90%,2.90%,,-11.85%,11.40%,8.86,,,
19,6,9.97%,25.73%,3.00%,14.21%,15.47%,2.16%,17.68%,2.75%,2.72%,,32.94%,74.84%,10.58,,,
19,7,1.33%,-5.01%,4.25%,-8.04%,-0.97%,2.52%,-2.17%,2.67%,2.91%,,8.06%,-7.32%,1.5,,,
19,8,37.20%,32.27%,5.49%,23.48%,21.29%,1.79%,0.98%,2.54%,2.30%,,11.55%,-5.21%,42.54,,,
19,9,22.68%,14.63%,5.01%,1.43%,3.42%,2.43%,-4.59%,3.32%,2.01%,,6.36%,6.03%,42.54,,,
19,10,33.10%,22.17%,5.06%,9.94%,12.75%,4.02%,-21.41%,1.70%,1.60%,,2.06%,-11.59%,20.63,,,
20,1,31.48%,6.95%,8.11%,17.69%,15.95%,4.39%,-2.84%,4.65%,3.32%,,10.80%,64.96%,26.17,,,
